County,aged 18-19,younger than 18,younger than 20,Population of women aged 13-44
Adair,410,290,710,6900
Andrew,140,120,260,3240
Atchison,40,30,70,880
Audrain,190,150,330,6040
Barry,290,210,500,6200
Barton,100,80,180,2160
Bates,140,110,240,2990
Benton,110,90,210,2540
Bollinger,100,80,170,2160
Boone,1980,1430,3410,47040
Buchanan,710,570,1280,17640
Butler,320,260,580,8310
Caldwell,80,70,150,1620
Callaway,430,320,750,9110
Camden,290,220,510,6770
Cape Girardeau,780,600,1380,17600
Carroll,70,60,130,1610
Carter,50,40,90,1160
Cass,920,710,1620,20440
Cedar,110,90,200,2270
Chariton,50,40,90,1220
Christian,740,580,1320,17730
Clark,60,40,100,1160
Clay,1970,1500,3470,51500
Clinton,170,130,300,3810
Cole,630,500,1120,15030
Cooper,140,110,250,3150
Crawford,190,150,340,4420
Dade,50,40,90,1200
Dallas,120,100,230,2810
Daviess,80,60,140,1470
Dekalb,70,60,130,1620
Dent,110,90,200,2590
Douglas,100,70,170,2090
Dunklin,260,210,470,5940
Franklin,810,640,1450,19350
Gasconade,110,90,200,2500
Gentry,50,40,100,1220
Greene,2540,1900,4440,64580
Grundy,90,70,160,1860
Harrison,60,50,120,1450
Henry,170,130,290,3780
Hickory,60,50,110,1260
Holt,30,20,50,700
Howard,100,80,180,2020
Howell,340,250,600,7630
Iron,80,60,140,1780
Jackson,5390,4300,9680,149610
Jasper,1030,790,1810,25730
Jefferson,1800,1430,3230,44720
Johnson,590,430,1020,12750
Knox,40,30,60,640
Laclede,290,240,520,6780
Lafayette,260,200,460,5990
Lawrence,340,260,610,7220
Lewis,100,80,170,1980
Lincoln,490,380,870,11410
Linn,100,80,180,2200
Livingston,110,90,190,3630
Macon,110,90,210,2590
Madison,90,70,170,2310
Maries,70,60,130,1550
Marion,250,190,440,5700
Mcdonald,210,150,370,4360
Mercer,30,30,60,620
Miller,210,160,370,4580
Mississippi,100,80,180,2340
Moniteau,140,110,240,2880
Monroe,60,50,110,1420
Montgomery,80,60,140,1960
Morgan,150,110,260,3190
New Madrid,140,110,250,3400
Newton,490,370,860,11030
Nodaway,380,270,650,5910
Oregon,90,70,150,1770
Osage,110,90,200,2410
Ozark,70,50,120,1370
Pemiscot,160,130,290,3490
Perry,160,120,280,3640
Pettis,360,280,640,8480
Phelps,380,290,660,8720
Pike,130,110,240,2990
Platte,810,630,1440,20570
Polk,340,270,610,6530
Pulaski,470,340,810,11520
Putnam,40,30,70,790
Ralls,70,60,130,1750
Randolph,210,160,370,4680
Ray,190,140,330,4130
Reynolds,40,30,70,1030
Ripley,100,80,180,2510
Saline,200,150,350,4560
Schuyler,40,30,70,810
Scotland,50,40,80,880
Scott,280,230,520,7540
Shannon,70,50,130,1370
Shelby,50,40,90,1070
St Charles,3380,2630,6010,81150
St Clair,60,50,110,1410
St Francois,480,380,860,12070
St Louis,8280,6590,14860,202640
St Louis City,2150,1760,3910,75710
Ste Genevieve,140,110,260,3190
Stoddard,220,170,390,5490
Stone,210,160,380,4480
Sullivan,50,40,90,1100
Taney,490,360,850,10660
Texas,200,150,350,4210
Vernon,230,170,390,4080
Warren,250,200,450,6270
Washington,190,150,340,4520
Wayne,90,70,170,2120
Webster,330,260,590,7170
Worth,20,10,30,320
Wright,170,130,300,3280
